,refListId_actual,Rssi,classe
272,5,-52.0,1
273,5,-55.0,1
274,5,-62.0,1
275,5,-55.0,1
276,5,-52.0,1
277,5,-56.0,1
278,5,-51.0,1
279,5,-62.0,1
280,5,-63.0,1
281,5,-67.0,0
282,5,-65.0,1
283,5,-51.0,1
284,5,-58.0,1
285,5,-64.0,1
286,5,-52.0,1
287,5,-63.0,1
288,5,-55.0,1
289,5,-63.0,1
290,5,-57.0,1
291,5,-63.0,1
292,5,-59.0,1
293,5,-50.0,1
294,5,-52.0,1
295,5,-53.0,1
296,5,-62.0,1
297,5,-58.0,1
298,5,-54.0,1
299,5,-64.0,1
300,5,-54.0,1
301,5,-56.0,1
302,5,-63.0,1
303,5,-63.0,1
304,5,-53.0,1
305,5,-62.0,1
306,5,-55.0,1
307,5,-54.0,1
308,5,-53.0,1
309,5,-59.0,0
310,5,-51.0,0
311,5,-44.0,0
312,5,-43.0,1
313,5,-63.0,1
314,5,-52.0,1
315,5,-47.0,1
316,5,-44.0,1
317,5,-65.0,1
318,5,-56.0,1
319,5,-42.0,1
320,5,-45.0,1
321,5,-57.0,1
322,5,-51.0,1
323,5,-52.0,1
324,5,-51.0,1
325,5,-45.0,1
326,5,-51.0,1
327,5,-62.0,0
328,5,-65.0,0
329,5,-45.0,1
330,5,-57.0,1
331,5,-46.0,1
332,5,-44.0,1
333,5,-49.0,1
334,5,-56.0,1
335,5,-54.0,1
336,5,-44.0,1
337,5,-59.0,1
338,5,-48.0,1
339,5,-44.0,1
340,5,-65.0,0
341,5,-61.0,0
342,5,-62.0,0
343,5,-50.0,1
344,5,-45.0,1
345,5,-45.0,1
346,5,-54.0,1
347,5,-48.0,1
348,5,-62.0,1
349,5,-44.0,1
350,5,-52.0,1
351,5,-49.0,1
352,5,-45.0,1
353,5,-44.0,1
354,5,-54.0,1
355,5,-60.0,0
356,5,-44.0,1
357,5,-48.0,1
358,5,-61.0,1
359,5,-46.0,1
360,5,-46.0,1
361,5,-59.0,1
362,5,-44.0,1
363,5,-45.0,1
364,5,-44.0,1
365,5,-49.0,1
366,5,-52.0,1
367,5,-49.0,1
368,5,-44.0,1
369,5,-49.0,1
370,5,-48.0,1
371,5,-61.0,1
372,5,-52.0,1
373,5,-50.0,1
374,5,-50.0,1
375,5,-45.0,1
376,5,-52.0,1
377,5,-60.0,1
378,5,-45.0,1
379,5,-47.0,0
380,5,-65.0,0
381,5,-57.0,0
382,5,-45.0,1
383,5,-65.0,1
384,5,-55.0,1
